OID_,id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,response_time_num,type_num,license_tf,host_location_tf,host_verifications_num,amenities_num,host_duration,pop_past,pop_future,popularity,dist_attractions,dist_city,airbnb_count,average_price,poi_count,transport_count,hotel_count
17,635742526455974784.000000000000000,245855406,100,97.000000000000000,f,t,f,47.558219999999999,-122.229169999999996,3,1.000000000000000,1.000000000000000,2.000000000000000,219.000000000000000,2.000000000000000,365.000000000000000,5.000000000000000,4.800000000000000,4.930000000000000,4.930000000000000,5.000000000000000,4.930000000000000,4.800000000000000,f,1,5,3,f,t,1,59,1381,1.020000000000000,-0.810000000000000,0.210000000000000,6681.224577335861795,9128.173459996549354,1,219.000000000000000,0,11.000000000000000,0
18,44667695.000000000000000,51601507,100,100.000000000000000,f,t,t,47.484929999999999,-122.243459999999999,1,1.000000000000000,1.000000000000000,1.000000000000000,129.000000000000000,2.000000000000000,29.000000000000000,4.730000000000000,4.910000000000000,4.730000000000000,4.910000000000000,4.910000000000000,4.910000000000000,4.820000000000000,f,3,5,2,f,t,2,47,2549,-0.920000000000000,1.110000000000000,0.190000000000000,1983.618169258225180,14739.851614477602197,10,120.900000000000006,1,1.000000000000000,0
19,25905002.000000000000000,193023955,100,65.000000000000000,f,t,t,47.745629999999998,-122.331299999999999,2,1.000000000000000,1.000000000000000,1.000000000000000,87.000000000000000,2.000000000000000,1125.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,f,3,4,2,f,t,2,53,1651,-0.690000000000000,-1.880000000000000,-2.570000000000000,8501.996606327511472,15765.930709071657475,6,133.333333333333343,0,2.000000000000000,0
20,50422713.000000000000000,67661991,100,80.000000000000000,t,t,t,47.705069999999999,-122.244129999999998,4,1.000000000000000,1.000000000000000,2.000000000000000,149.000000000000000,3.000000000000000,1125.000000000000000,4.850000000000000,4.920000000000000,4.920000000000000,5.000000000000000,5.000000000000000,4.540000000000000,4.850000000000000,f,1,5,3,f,f,2,57,2427,-0.660000000000000,0.150000000000000,-0.510000000000000,6232.919616194045375,12975.734396965752239,2,162.500000000000000,0,0.000000000000000,0
21,40864735.000000000000000,317871568,96,99.000000000000000,f,t,t,47.735639999999997,-122.294139999999999,2,1.000000000000000,1.000000000000000,1.000000000000000,86.000000000000000,1.000000000000000,28.000000000000000,4.830000000000000,4.740000000000000,4.910000000000000,5.000000000000000,4.960000000000000,4.780000000000000,4.740000000000000,f,3,5,2,f,t,1,45,1090,-0.830000000000000,-0.600000000000000,-1.430000000000000,7325.816401162621332,14901.155323573637361,17,123.117647058823536,5,9.000000000000000,0
22,14000589.000000000000000,25749669,75,50.000000000000000,f,t,t,47.503709999999998,-122.341989999999996,2,1.500000000000000,1.000000000000000,1.000000000000000,95.000000000000000,3.000000000000000,1125.000000000000000,4.570000000000000,4.640000000000000,4.710000000000000,4.710000000000000,4.710000000000000,4.310000000000000,4.460000000000000,f,4,3,2,f,t,2,28,2893,-1.080000000000000,-1.340000000000000,-2.420000000000000,3548.268848929601063,11167.883341957367520,8,226.750000000000000,5,5.000000000000000,0
23,16733665.000000000000000,36390224,100,90.000000000000000,t,t,t,47.644390000000001,-122.327659999999995,5,2.500000000000000,2.000000000000000,3.000000000000000,249.000000000000000,30.000000000000000,1125.000000000000000,4.940000000000000,4.970000000000000,4.970000000000000,5.000000000000000,5.000000000000000,4.900000000000000,4.840000000000000,f,1,5,3,t,f,2,39,2728,-0.940000000000000,1.110000000000000,0.170000000000000,1877.411974201137582,4512.962294982055937,34,155.294117647058812,28,6.000000000000000,0
24,40863283.000000000000000,317871568,96,99.000000000000000,f,t,t,47.735039999999998,-122.295640000000006,2,1.000000000000000,1.000000000000000,1.000000000000000,81.000000000000000,1.000000000000000,28.000000000000000,4.940000000000000,4.940000000000000,5.000000000000000,4.940000000000000,5.000000000000000,5.000000000000000,4.940000000000000,f,3,5,2,f,t,1,57,1090,1.090000000000000,0.250000000000000,1.340000000000000,7242.835376168854054,14815.483437519445943,14,136.857142857142861,6,10.000000000000000,0
25,580365544480383488.000000000000000,3436665,86,95.000000000000000,f,t,t,47.510750000000002,-122.341220000000007,4,1.000000000000000,1.000000000000000,1.000000000000000,107.000000000000000,2.000000000000000,1125.000000000000000,4.200000000000000,4.600000000000000,3.800000000000000,3.600000000000000,4.400000000000000,4.000000000000000,4.400000000000000,t,1,5,3,f,t,2,52,3752,-0.780000000000000,-1.560000000000000,-2.340000000000000,3159.227758525432364,10383.041974416993980,7,152.142857142857139,0,4.000000000000000,0
26,684160301238028416.000000000000000,451209387,100,88.000000000000000,f,t,t,47.550890000000003,-122.230159999999998,8,2.000000000000000,3.000000000000000,4.000000000000000,225.000000000000000,3.000000000000000,1125.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,t,1,5,3,f,f,2,15,259,-0.210000000000000,-0.810000000000000,-1.020000000000000,6115.721600395752830,9546.537358892019256,2,311.000000000000000,0,10.000000000000000,0
