id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,license_tf,response_time_num,host_verifications_num,amenities_num,book_30,pop_past,pop_future,popularity,relative_meanprice,relative_price,type_num,host_duration
22355702,8269568,100,100.0,t,t,t,2,1,,1.0,115.0,3.0,1125.0,0,4.94,4.96,4.94,4.99,4.98,4.94,4.85,t,1,2.69,f,5,2,28,30,0.25,1.03,1.28,170.95,-55.94999999999999,3,3394
22410639,22588057,100,96.0,t,t,t,2,1,1.0,1.0,101.0,30.0,1125.0,13,4.97,4.97,4.97,5.0,5.0,4.94,4.94,t,4,0.66,f,5,2,38,17,-0.71,-0.38,-1.0899999999999999,129.47826086956522,-28.47826086956522,2,2973
22419955,13701143,100,100.0,f,t,t,5,1,2.0,2.0,85.0,30.0,1125.0,0,4.67,4.81,4.77,4.91,4.89,4.71,4.75,f,15,4.63,f,5,2,58,30,1.17,1.03,2.2,113.27777777777777,-28.27777777777777,3,3172
22451351,164507760,100,98.0,t,t,t,3,1,1.0,1.0,99.0,2.0,1125.0,19,4.94,4.96,4.97,4.99,4.98,4.92,4.93,f,2,4.72,f,5,2,40,11,1.21,-1.03,0.17999999999999994,172.9,-73.9,3,1804
22453792,362814236,0,0.0,f,t,t,2,1,1.0,1.0,70.0,1.3,1125.0,2,4.88,4.95,4.94,4.97,4.94,4.88,4.84,f,2,6.61,f,1,2,38,28,2.11,0.81,2.92,130.92857142857142,-60.928571428571416,3,841
22493797,121688409,100,99.0,t,t,t,4,1,,1.0,86.0,2.3,1125.0,3,4.56,4.76,4.88,4.76,4.8,4.6,4.48,t,28,0.59,f,5,2,15,27,-0.74,0.7,-0.040000000000000036,146.16666666666666,-60.16666666666666,3,2086
22494869,89000296,100,100.0,t,t,t,3,1,1.0,1.0,168.0,4.0,1125.0,5,4.96,4.98,4.96,4.98,4.94,4.94,4.84,t,1,2.02,f,5,3,20,25,-0.07,0.49,0.42,176.89285714285714,-8.892857142857139,3,2309
22499214,55994209,100,99.0,t,t,t,4,1,2.0,2.0,125.0,2.0,1125.0,12,4.85,4.92,4.92,4.97,4.95,4.93,4.86,f,1,3.2,f,5,2,32,18,0.49,-0.27,0.21999999999999997,274.2142857142857,-149.21428571428572,3,2506
22512704,160949668,100,96.0,f,t,t,3,1,2.0,3.0,99.0,2.0,7.0,0,4.77,4.81,4.74,4.87,4.94,4.71,4.77,f,2,0.54,f,5,1,31,30,-0.77,1.03,0.26,119.16666666666667,-20.16666666666667,3,1829
22526979,79720246,0,0.0,f,t,t,2,1,1.0,1.0,118.0,180.0,1125.0,30,4.86,4.92,4.81,4.99,4.98,4.91,4.89,t,1,2.83,f,1,2,27,0,0.32,-2.21,-1.89,249.875,-131.875,3,2355
22613740,19409902,100,98.0,t,t,t,2,1,1.0,1.0,116.0,3.0,1125.0,0,4.94,4.96,4.98,5.0,4.99,4.98,4.85,t,1,2.75,f,5,2,67,30,0.28,1.03,1.31,183.73469387755102,-67.73469387755102,3,3046
22627982,66529538,100,83.0,f,t,t,6,1,1.0,2.0,128.0,30.0,1125.0,0,4.85,4.9,4.9,4.98,4.92,4.98,4.88,f,1,1.23,f,4,2,44,30,-0.44,1.03,0.5900000000000001,162.2,-34.19999999999999,3,2430
22630322,51002035,100,99.0,t,t,t,6,2,2.0,3.0,189.0,2.1,1125.0,13,4.97,5.0,5.0,5.0,5.0,4.94,5.0,f,5,0.7,f,5,2,26,17,-0.69,-0.38,-1.0699999999999998,134.30769230769232,54.69230769230768,3,2552
22654864,81130557,100,100.0,t,t,t,4,1,1.0,2.0,92.0,3.0,1125.0,5,4.83,4.79,4.92,4.96,5.0,4.83,4.79,t,1,0.44,f,5,3,52,25,-0.82,0.49,-0.32999999999999996,191.75,-99.75,3,2348
22656833,32377507,100,100.0,t,t,t,8,2,4.0,5.0,395.0,4.0,31.0,21,4.87,4.86,5.0,4.95,4.91,5.0,4.68,f,3,1.47,f,5,2,22,9,-0.33,-1.24,-1.57,188.04545454545453,206.95454545454547,3,2775
22670142,19403115,100,99.0,f,t,t,2,1,1.0,1.0,623.0,1.0,1125.0,0,4.83,4.86,4.93,4.93,4.93,4.94,4.85,f,14,3.21,f,5,3,22,30,0.5,1.03,1.53,275.375,347.625,2,3046
22715967,167581406,100,98.0,t,t,t,2,1,1.0,2.0,229.0,3.0,30.0,0,4.99,4.98,5.0,4.96,4.99,5.0,4.92,f,1,2.0,f,5,2,63,30,-0.08,1.03,0.9500000000000001,206.19886363636363,22.801136363636374,3,1787
22719649,16223902,100,100.0,t,t,t,2,1,1.0,1.0,120.0,5.0,1125.0,16,4.9,4.97,4.98,4.98,5.0,4.97,4.87,f,1,1.11,f,5,2,33,14,-0.5,-0.7,-1.2,110.0,10.0,3,3109
22730391,57758273,0,88.0,t,t,f,2,1,1.0,1.0,95.0,30.0,1125.0,1,5.0,4.92,4.83,5.0,4.92,5.0,4.92,f,1,0.23,t,1,2,44,29,-0.91,0.92,0.010000000000000009,214.6,-119.6,3,2493
22732149,65158746,100,100.0,t,t,t,6,1.5,3.0,3.0,173.0,30.0,1125.0,0,4.79,4.83,4.78,4.96,4.95,4.95,4.67,f,7,2.79,f,5,2,57,30,0.3,1.03,1.33,187.19230769230768,-14.19230769230768,3,2440
