id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,license_tf,response_time_num,host_verifications_num,amenities_num,pop_past,pop_future,popularity,relative_meanprice,relative_price,type_num,host_location_tf,host_duration,cluster_id
17994682,123656742,100,100.0,f,t,t,3,1.0,2.0,2.0,160.0,3.0,1122.5,5.0,5.0,5.0,5.0,5.0,4.83,5.0,f,1,t,5,2,58,-0.97,1.03,0.06,100.0,60.0,3,t,2075,0
18037851,4037804,100,95.0,t,t,t,1,1.0,1.0,1.0,143.0,1.3,14.0,4.77,4.96,4.65,4.96,5.0,4.81,4.81,f,2,t,5,2,51,-0.83,1.03,0.2,108.55555555555556,34.44444444444444,2,t,3685,0
18097851,10491318,100,100.0,f,t,t,10,3.5,5.0,5.0,850.0,3.0,1125.0,4.78,4.78,4.83,4.78,4.8,4.76,4.62,t,1,t,5,2,52,-0.68,1.03,0.35,164.9,685.1,3,t,3285,2
18119556,124853735,100,94.0,t,t,t,6,1.0,2.0,3.0,332.0,2.0,1125.0,4.87,4.93,4.85,4.94,4.91,4.85,4.84,t,1,t,5,2,46,0.18,-1.67,-1.49,225.1935483870968,106.80645161290325,3,t,2067,1
18121216,20010817,100,50.0,f,t,t,2,1.0,1.0,1.0,84.0,30.0,1125.0,4.48,4.62,4.55,4.69,4.57,4.48,4.57,f,1,t,5,2,29,-0.69,1.03,0.3400000000000001,121.6,-37.6,3,t,3035,0
18121270,2013576,100,100.0,t,t,t,2,1.0,1.0,1.0,179.0,2.0,1080.4,4.97,4.97,4.95,4.99,4.97,4.74,4.8,t,3,t,5,2,20,1.37,-1.03,0.3400000000000001,150.6,28.40000000000001,3,t,3906,0
18156698,54660,100,99.0,t,t,t,5,1.0,1.0,3.0,135.0,1.0,1125.0,4.88,4.93,4.97,4.91,4.88,4.96,4.87,t,4,t,5,2,37,0.98,0.38,1.36,162.5,-27.5,3,t,4767,0
18182005,16151000,100,90.0,t,t,t,10,2.5,4.0,5.0,369.0,4.0,1125.0,4.84,4.9,4.78,4.98,4.93,4.97,4.68,f,1,t,4,2,48,-0.13,-0.38,-0.51,185.6,183.4,3,f,3112,1
18194024,46561545,100,96.0,t,t,t,2,1.0,1.0,1.0,95.0,1.1,1125.0,4.93,4.9,4.98,4.97,4.95,4.81,4.91,f,1,t,5,2,41,0.82,0.16,0.98,144.58333333333334,-49.58333333333334,3,t,2609,0
18213259,49819362,100,90.0,t,t,t,3,1.0,1.0,2.0,65.0,30.0,1125.0,4.9,4.94,4.94,4.98,5.0,4.81,4.76,f,3,f,5,2,32,0.44,1.03,1.47,241.44444444444449,-176.44444444444446,3,t,2568,0
18215078,26815448,100,58.0,f,t,t,2,1.0,0.0,2.0,71.0,30.0,1125.0,4.97,4.95,4.94,4.98,4.98,4.94,4.94,f,2,t,5,2,34,-0.28,1.03,0.75,230.25,-159.25,3,t,2869,0
